Jugador,Salario
DeMar DeRozan,27739975
LaMarcus Aldridge,26000000
Rudy Gay,14000000
Patty Mills,12428571
DeMarre Carroll,6842307
Marco Belinelli,5846154
Trey Lyles,5500000
Pau Gasol,5074856
Jakob Poeltl,3754886
Bryn Forbes,2875000
Lonnie Walker,2760480
Luka Šamanić,2689920
Dejounte Murray,2321735
Keldon Johnson,1950600
Derrick White,1948080
Chimezie Metu,1416852
Tyler Zeller,245686
Drew Eubanks,0
Quinndary Weatherspoon,0
Russell Westbrook,38506482
James Harden,38199000
Eric Gordon,14057730
Robert Covington,11301219
P.J. Tucker,8349039
Danuel House,3540000
Thabo Sefolosha,2564753
Tyson Chandler,2564753
Austin Rivers,2174318
Ben McLemore,2028594
Bruno Caboclo,1845301
Isaiah Hartenstein,1416852
David Nwaba,903111
Jeff Green,840427
DeMarre Carroll,811447
Gary Clark,708426
Chris Clemons,563347
Ryan Anderson,500000
Luc Mbah a Moute,289803
Troy Williams,122741
Anthony Bennett,6000
William Howard,0
Michael Frazier,0
John Wall,40866760
Damian Lillard,29802321
CJ McCollum,27556959
Hassan Whiteside,27093018
Trevor Ariza,12200000
Jusuf Nurkić,12000000
Rodney Hood,5718000
Zach Collins,4240200
Andrew Nicholson,2844430
Carmelo Anthony,2159029
Anfernee Simons,2149560
Nassir Little,2105520
Caleb Swanigan,2033160
Anderson Varejão,1913345
Mario Hezonja,1737145
Wenyen Gabriel,1445697
Gary Trent,1416852
Pau Gasol,463684
Festus Ezeli,333333
Jaylen Adams,163356
Jaylen Hoard,0
Moses Brown,0
Mike Conley,32511623
Rudy Gobert,25008427
Bojan Bogdanović,17000000
Jordan Clarkson,13437500
Joe Ingles,11207387
Ed Davis,4767000
Donovan Mitchell,3635760
Jeff Green,2564753
Tony Bradley,1962360
Emmanuel Mudiay,1737145
Georges Niang,1678854
Royce O'Neale,1618520
Nigel Williams-Goss,1500000
Miye Oni,842166
Juwan Morgan,746054
Rayjon Tucker,578573
Stanton Kidd,250000
William Howard,50000
Jarrell Brantley,0
Justin Wright-Foreman,0
Kristaps Porziņģis,27285000
Tim Hardaway,18150000
Courtney Lee,12759670
Dwight Powell,10259375
Delon Wright,9473684
Maxi Kleber,8000000
Luka Dončić,7683360
Seth Curry,7461380
Dorian Finney-Smith,4000000
Boban Marjanović,3500000
Justin Jackson,3280920
J.J. Barea,2564753
Willie Cauley-Stein,2177483
Justin Patton,1620564
Jalen Brunson,1416852
Ryan Broekhoff,1416852
Michael Kidd-Gilchrist,810763
Trey Burke,229220
Antonius Cleveland,0
Josh Reaves,0
Jrue Holiday,26131111
Derrick Favors,17650000
J.J. Redick,13486300
Zion Williamson,9757440
Lonzo Ball,8719320
E'Twaun Moore,8664928
Brandon Ingram,7265485
Darius Miller,7250000
Jaxson Hayes,4862040
